date,start,end,item,done,notes
2026-02-07,13,14,Gym,,
2026-02-07,14,14.5,Haircut,,
2026-02-07,9,9.5,Shower/sauna,,
2026-02-07,22,22,Sleep by 10pm,,
2026-02-19,9,10,Deep Work,,DVN
2026-02-19,10,11,Gym,,
2026-02-20,11,12,Gym,,
2026-02-20,14,15,Buy ring,,
2026-02-25,21,21,Sleep,,
2026-02-26,7,7,Wake up,,
2026-02-26,7,7.5,Meditate outside with Cooper,,
2026-02-26,7.5,8,Journal and plan day,,
2026-02-26,8,9,Work meeting,,
2026-02-26,9,10,Deep work,,
2026-02-26,10,10.5,Loose work / clearance,,
2026-02-26,11,12,Gym - Day A,,squat/bench/lat_pulldown
2026-02-26,21,21,Sleep,,
2026-02-27,20,21,Queers of the Stoner Age - MA meeting,,Lambda Center Houston - 1201 W Clay St
2026-02-28,11,12,Diamonds Direct - appointment with mom,,
2026-04-01,0,0,Poland - fly out,,KLM IAH→WRO 3:20pm - X8XN7K
2026-05-15,0,0,Poland - fly home,,KLM WRO→IAH 6:00am - X8XN7K
2026-07-11,0,0,Wedding - Shreyak (Day 1),,Nepal
2026-07-12,0,0,Wedding - Shreyak (Day 2),,Nepal
2026-08-02,0,0,Wedding - Rhonda,,
2026-09-26,0,0,Wedding - Allan,,
2026-12-21,0,0,Wedding - Simran (Day 1),,
2026-12-22,0,0,Wedding - Simran (Day 2),,
