id,item,done,created
1,Book Poland flight,1,2026-02-07
2,Buy ring,0,2026-02-07
3,Car wash + clean inside,0,2026-02-19
4,Go to Costco with mom - diamond ring,1,2026-02-25
5,Look into Ghostty,1,2026-02-25
6,Clean room,0,2026-02-26
7,Get Canadian passport photo,1,2026-02-26
8,Move sleep to guest room - separate office from sleep space,0,2026-02-26
9,Order diet boxes for April to mid-May during Poland trip,0,2026-02-27
10,Ask about MultiSport card on March 14,0,2026-02-27
11,Buy good earplugs and face mask,0,2026-02-27
12,Buy for Basia Crest Whitestrips,0,2026-02-27
13,Buy for Basia Burt's Bees chapstick,0,2026-02-27
14,Buy for Basia pink blush (color TBD): https://www.rhodeskin.com/products/pocket-blush-spicy-marg,0,2026-02-27
15,When I give a suggestion - explore whether Claude should investigate and give a,0,2026-02-26
16,Idea: notifications should give a contextual response after looking things up in,0,2026-02-26
17,Feature idea: add graphs to weight and workout logging + habit tracking - show p,0,2026-02-26
18,Restart meditation. Life is what you make it - there is a lot to be thankful for. Focus...,0,2026-02-27
19,Pattern recognition engine - detect binge/crash cycles from logged data,0,2026-02-27
20,Clarify: Consider how adding meditate section into the app would integrate with existing functionalities - reflections and trigger tracking already exist. Into meditation (Francis Lucille). How might this factor in?,0,2026-02-26
21,Clarify: Idea: notifications should give a contextual response after looking things up instead of just saying saved/logged. Unsure if good idea - logged for later review.,0,2026-02-26
22,Clarify: Add 5min cardio to every gym session - start frictionless then expand later,0,2026-02-26
